,COUNTYFP20,VAP,APAMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,APAMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
37,003,2659,76,511,460,2583,2659,1.0,0.0285821737495299,0.9714178262504701,1688,0.19217751034223393,0.17299736743136518,0.6348251222264009
38,003,1281,26,432,546,1255,1281,1.0,0.02029664324746292,0.9797033567525371,303,0.3372365339578454,0.4262295081967213,0.23653395784543327
39,003,1473,45,447,318,1428,1473,1.0,0.03054989816700611,0.9694501018329938,708,0.3034623217922607,0.2158859470468432,0.48065173116089616
40,003,2662,82,811,509,2580,2662,1.0,0.030803906836964687,0.9691960931630353,1342,0.3046581517655898,0.19120961682945153,0.5041322314049587
41,003,455,4,194,195,451,455,1.0,0.008791208791208791,0.9912087912087912,66,0.42637362637362636,0.42857142857142855,0.14505494505494507
42,003,884,24,0,0,860,884,1.0,0.027149321266968326,0.9728506787330317,884,0.0,0.0,1.0
43,003,2412,77,910,102,2335,2412,1.0,0.031923714759535655,0.9680762852404643,1400,0.37728026533996684,0.04228855721393035,0.5804311774461028
44,003,3013,83,852,701,2930,3013,1.0,0.027547295054762694,0.9724527049452373,1460,0.28277464321274476,0.23265847992034516,0.4845668768669101
45,003,771,31,258,222,740,771,1.0,0.040207522697795074,0.959792477302205,291,0.3346303501945525,0.28793774319066145,0.377431906614786
46,003,3076,59,892,833,3017,3076,1.0,0.01918075422626788,0.9808192457737321,1351,0.28998699609882966,0.27080624187256175,0.4392067620286086
48,003,2561,68,789,653,2493,2561,1.0,0.026552128074970715,0.9734478719250292,1119,0.3080827801639984,0.254978524014057,0.43693869582194456
49,003,1469,38,355,230,1431,1469,1.0,0.025867937372362152,0.9741320626276379,884,0.24166099387338325,0.15656909462219196,0.6017699115044248
50,003,1151,37,283,125,1114,1151,1.0,0.03214596003475239,0.9678540399652477,743,0.24587315377932234,0.10860121633362294,0.6455256298870548
51,003,1332,22,534,407,1310,1332,1.0,0.016516516516516516,0.9834834834834835,391,0.4009009009009009,0.3055555555555556,0.29354354354354356
52,003,62,4,0,0,58,62,1.0,0.06451612903225806,0.9354838709677419,62,0.0,0.0,1.0
53,003,2321,84,705,606,2237,2321,1.0,0.03619129685480396,0.9638087031451961,1010,0.3037483843171047,0.26109435588108576,0.4351572598018096
54,003,742,12,69,465,730,742,1.0,0.016172506738544475,0.9838274932614556,208,0.09299191374663072,0.6266846361185984,0.2803234501347709
55,003,272,4,72,98,268,272,1.0,0.014705882352941176,0.9852941176470589,102,0.2647058823529412,0.3602941176470588,0.375
56,003,2995,106,1039,651,2889,2995,1.0,0.035392320534223705,0.9646076794657763,1305,0.3469115191986644,0.21736227045075127,0.4357262103505843
57,003,1933,60,617,343,1873,1933,1.0,0.031039834454216243,0.9689601655457838,973,0.31919296430419036,0.17744438696326953,0.5033626487325401
58,003,2606,72,751,1018,2534,2606,1.0,0.02762854950115119,0.9723714504988488,837,0.2881811204911742,0.3906369915579432,0.3211818879508826
59,003,1490,39,505,492,1451,1490,1.0,0.026174496644295303,0.9738255033557047,493,0.3389261744966443,0.3302013422818792,0.3308724832214765
60,003,1598,48,506,675,1550,1598,1.0,0.030037546933667083,0.9699624530663329,417,0.3166458072590738,0.42240300375469336,0.2609511889862328
61,003,4374,166,890,411,4208,4374,1.0,0.037951531778692274,0.9620484682213077,3073,0.2034750800182899,0.09396433470507544,0.7025605852766347
62,003,2083,49,732,708,2034,2083,1.0,0.023523763802208355,0.9764762361977917,643,0.3514162265962554,0.3398943831012962,0.3086893903024484
63,003,2544,146,603,170,2398,2544,1.0,0.05738993710691824,0.9426100628930818,1771,0.23702830188679244,0.06682389937106918,0.6961477987421384
64,003,2704,66,743,473,2638,2704,1.0,0.02440828402366864,0.9755917159763313,1488,0.27477810650887574,0.17492603550295857,0.5502958579881657
65,003,3295,110,697,161,3185,3295,1.0,0.03338391502276176,0.9666160849772383,2437,0.21153262518968133,0.04886191198786039,0.7396054628224583
66,003,2186,41,734,569,2145,2186,1.0,0.018755718206770355,0.9812442817932296,883,0.3357731015553522,0.26029277218664226,0.4039341262580055
67,003,1336,21,380,419,1315,1336,1.0,0.015718562874251496,0.9842814371257484,537,0.2844311377245509,0.31362275449101795,0.40194610778443113
68,003,2338,72,717,1217,2266,2338,1.0,0.030795551753635585,0.9692044482463644,404,0.306672369546621,0.520530367835757,0.1727972626176219
69,003,1853,51,509,833,1802,1853,1.0,0.027522935779816515,0.9724770642201835,511,0.2746896923907178,0.44954128440366975,0.27576902320561253
70,003,1153,38,475,227,1115,1153,1.0,0.03295750216825672,0.9670424978317432,451,0.411968777103209,0.19687771032090198,0.391153512575889
71,003,756,14,171,400,742,756,1.0,0.018518518518518517,0.9814814814814815,185,0.2261904761904762,0.5291005291005291,0.2447089947089947
72,003,1211,42,313,504,1169,1211,1.0,0.03468208092485549,0.9653179190751445,394,0.2584640792733278,0.4161849710982659,0.32535094962840627
73,003,1176,27,450,323,1149,1176,1.0,0.02295918367346939,0.9770408163265306,403,0.3826530612244898,0.27465986394557823,0.342687074829932
74,003,1504,39,611,587,1465,1504,1.0,0.025930851063829786,0.9740691489361702,306,0.40625,0.39029255319148937,0.20345744680851063
75,003,2392,48,756,485,2344,2392,1.0,0.020066889632107024,0.979933110367893,1151,0.31605351170568563,0.20275919732441472,0.48118729096989965
76,003,1233,25,426,171,1208,1233,1.0,0.0202757502027575,0.9797242497972425,636,0.34549878345498786,0.1386861313868613,0.5158150851581509
77,003,285,5,51,128,280,285,1.0,0.017543859649122806,0.9824561403508771,106,0.17894736842105263,0.44912280701754387,0.3719298245614035
78,003,2109,88,620,367,2021,2109,1.0,0.04172593646277857,0.9582740635372214,1122,0.29397818871503084,0.17401612138454245,0.5320056899004267
79,003,2310,74,514,384,2236,2310,1.0,0.032034632034632034,0.9679653679653679,1412,0.22251082251082252,0.16623376623376623,0.6112554112554113
80,003,520,25,161,179,495,520,1.0,0.04807692307692308,0.9519230769230769,180,0.3096153846153846,0.34423076923076923,0.34615384615384615
81,003,2220,93,460,279,2127,2220,1.0,0.041891891891891894,0.9581081081081081,1481,0.2072072072072072,0.12567567567567567,0.6671171171171171
82,003,1716,40,745,218,1676,1716,1.0,0.023310023310023312,0.9766899766899767,753,0.43414918414918413,0.12703962703962704,0.4388111888111888
83,003,1159,48,419,374,1111,1159,1.0,0.04141501294219154,0.9585849870578085,366,0.361518550474547,0.32269197584124243,0.3157894736842105
85,003,2742,40,948,769,2702,2742,1.0,0.014587892049598834,0.9854121079504011,1025,0.34573304157549234,0.2804522246535376,0.3738147337709701
86,003,1706,38,525,459,1668,1706,1.0,0.022274325908558032,0.977725674091442,722,0.30773739742086753,0.2690504103165299,0.4232121922626026
87,003,1045,23,341,558,1022,1045,1.0,0.02200956937799043,0.9779904306220095,146,0.3263157894736842,0.5339712918660288,0.1397129186602871
88,003,2215,55,734,590,2160,2215,1.0,0.024830699774266364,0.9751693002257337,891,0.3313769751693002,0.26636568848758463,0.4022573363431151
89,003,1553,33,452,659,1520,1553,1.0,0.021249195106245976,0.978750804893754,442,0.2910495814552479,0.42433998712169996,0.28461043142305215
90,003,35,2,9,22,33,35,1.0,0.05714285714285714,0.9428571428571428,4,0.2571428571428571,0.6285714285714286,0.11428571428571428
92,003,3146,72,1009,741,3074,3146,1.0,0.02288620470438652,0.9771137952956135,1396,0.32072472981563893,0.23553719008264462,0.44373808010171645
93,003,1238,41,310,648,1197,1238,1.0,0.033117932148626815,0.9668820678513732,280,0.25040387722132473,0.5234248788368336,0.22617124394184168
94,003,101,4,15,23,97,101,1.0,0.039603960396039604,0.9603960396039604,63,0.1485148514851485,0.22772277227722773,0.6237623762376238
95,003,1247,41,412,320,1206,1247,1.0,0.03287890938251804,0.967121090617482,515,0.33039294306335204,0.2566158781074579,0.41299117882919006
