,COUNTYFP20,VAP,APAMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,APAMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
55,003,2294,77,641,380,2217,2294,1.0,0.03356582388840453,0.9664341761115954,1273,0.2794245858761988,0.16564952048823017,0.5549258936355711
56,003,2061,81,390,1053,1980,2061,1.0,0.039301310043668124,0.9606986899563319,618,0.18922852983988356,0.5109170305676856,0.29985443959243085
57,003,2111,77,567,1180,2034,2111,1.0,0.0364756039791568,0.9635243960208432,364,0.26859308384651825,0.5589767882520132,0.1724301279014685
58,003,1424,56,296,462,1368,1424,1.0,0.03932584269662921,0.9606741573033708,666,0.20786516853932585,0.324438202247191,0.46769662921348315
59,003,971,35,231,511,936,971,1.0,0.03604531410916581,0.9639546858908342,229,0.23789907312049433,0.5262615859938208,0.23583934088568487
60,003,876,34,314,153,842,876,1.0,0.03881278538812785,0.9611872146118722,409,0.3584474885844749,0.17465753424657535,0.4668949771689498
61,003,1580,75,341,781,1505,1580,1.0,0.04746835443037975,0.9525316455696202,458,0.2158227848101266,0.49430379746835446,0.289873417721519
62,003,3850,132,576,332,3718,3850,1.0,0.03428571428571429,0.9657142857142857,2942,0.1496103896103896,0.08623376623376623,0.7641558441558441
63,003,1313,32,271,694,1281,1313,1.0,0.024371667936024372,0.9756283320639756,348,0.2063975628332064,0.5285605483625285,0.26504188880426505
64,003,369,5,130,147,364,369,1.0,0.013550135501355014,0.986449864498645,92,0.3523035230352303,0.3983739837398374,0.24932249322493225
65,003,328,17,31,147,311,328,1.0,0.051829268292682924,0.948170731707317,150,0.09451219512195122,0.4481707317073171,0.4573170731707317
66,003,2052,91,332,1239,1961,2052,1.0,0.04434697855750487,0.9556530214424951,481,0.1617933723196881,0.6038011695906432,0.23440545808966862
67,003,573,31,123,290,542,573,1.0,0.05410122164048865,0.9458987783595113,160,0.21465968586387435,0.506108202443281,0.2792321116928447
68,003,2856,104,722,1151,2752,2856,1.0,0.036414565826330535,0.9635854341736695,983,0.25280112044817926,0.40301120448179273,0.344187675070028
69,003,2997,69,871,1468,2928,2997,1.0,0.023023023023023025,0.9769769769769769,658,0.29062395729062396,0.48982315648982316,0.21955288621955288
