,COUNTYFP20,VAP,AMINVAP,PRES20D,PRES20R,OVAP,TOT_VOTES,factor,AMINVAP_pct,OVAP_pct,PRES20None,PRES20D_pct,PRES20R_pct,PRES20None_pct
38,001,330,326,294,35,4,330,1.0444444444444445,0.9878787878787879,0.012121212121212121,1,0.8909090909090909,0.10606060606060606,0.0030303030303030303
39,001,642,627,436,101,15,642,1.0,0.9766355140186916,0.02336448598130841,105,0.6791277258566978,0.1573208722741433,0.16355140186915887
40,001,1862,67,238,1140,1795,1862,1.0,0.0359828141783029,0.9640171858216972,484,0.12781954887218044,0.6122448979591837,0.25993555316863587
41,001,1838,1407,988,79,431,1838,1.0,0.76550598476605,0.23449401523394994,771,0.5375408052230686,0.04298150163220892,0.41947769314472255
42,001,698,686,425,70,12,698,1.0,0.9828080229226361,0.017191977077363897,203,0.6088825214899714,0.10028653295128939,0.29083094555873923
43,003,2223,27,442,958,2196,2223,1.0,0.012145748987854251,0.9878542510121457,823,0.19883040935672514,0.43094916779127307,0.3702204228520018
44,003,2332,33,445,1239,2299,2332,1.0,0.014150943396226415,0.9858490566037735,648,0.19082332761578044,0.5313036020583191,0.27787307032590053
45,003,2408,32,508,986,2376,2408,1.0,0.013289036544850499,0.9867109634551495,914,0.21096345514950166,0.40946843853820597,0.3795681063122924
46,003,1619,14,908,223,1605,1619,1.0,0.008647313156269302,0.9913526868437307,488,0.560840024706609,0.13773934527486104,0.30142063001853
47,003,1708,27,698,440,1681,1708,1.0,0.015807962529274005,0.984192037470726,570,0.40866510538641687,0.2576112412177986,0.3337236533957845
48,003,1684,16,783,366,1668,1684,1.0,0.009501187648456057,0.9904988123515439,535,0.4649643705463183,0.2173396674584323,0.3176959619952494
49,003,510,7,62,148,503,510,1.0,0.013725490196078431,0.9862745098039216,300,0.12156862745098039,0.2901960784313726,0.5882352941176471
50,003,1963,24,404,1006,1939,1963,1.0,0.012226184411614875,0.9877738155883852,553,0.20580743759551706,0.5124808965868568,0.2817116658176261
51,003,1837,15,751,257,1822,1837,1.0,0.008165487207403375,0.9918345127925966,829,0.4088187261839956,0.13990201415351117,0.4512792596624932
52,003,2378,27,926,413,2351,2378,1.0,0.011354079058031959,0.988645920941968,1039,0.3894028595458368,0.1736753574432296,0.43692178301093354
53,003,2688,47,891,250,2641,2688,1.0,0.017485119047619048,0.9825148809523809,1547,0.3314732142857143,0.09300595238095238,0.5755208333333334
54,003,2260,34,664,212,2226,2260,1.0,0.01504424778761062,0.9849557522123894,1384,0.2938053097345133,0.09380530973451327,0.6123893805309735
55,003,2294,38,641,380,2256,2294,1.0,0.016564952048823016,0.983435047951177,1273,0.2794245858761988,0.16564952048823017,0.5549258936355711
56,003,2061,33,390,1053,2028,2061,1.0,0.01601164483260553,0.9839883551673945,618,0.18922852983988356,0.5109170305676856,0.29985443959243085
57,003,2111,20,567,1180,2091,2111,1.0,0.009474182851729039,0.9905258171482709,364,0.26859308384651825,0.5589767882520132,0.1724301279014685
58,003,1424,17,296,462,1407,1424,1.0,0.011938202247191011,0.988061797752809,666,0.20786516853932585,0.324438202247191,0.46769662921348315
59,003,971,14,231,511,957,971,1.0,0.014418125643666324,0.9855818743563337,229,0.23789907312049433,0.5262615859938208,0.23583934088568487
60,003,876,2,314,153,874,876,1.0,0.00228310502283105,0.997716894977169,409,0.3584474885844749,0.17465753424657535,0.4668949771689498
61,003,1580,23,341,781,1557,1580,1.0,0.014556962025316455,0.9854430379746836,458,0.2158227848101266,0.49430379746835446,0.289873417721519
62,003,3850,109,576,332,3741,3850,1.0,0.028311688311688312,0.9716883116883117,2942,0.1496103896103896,0.08623376623376623,0.7641558441558441
63,003,1313,7,271,694,1306,1313,1.0,0.005331302361005331,0.9946686976389947,348,0.2063975628332064,0.5285605483625285,0.26504188880426505
64,003,369,3,130,147,366,369,1.0,0.008130081300813009,0.991869918699187,92,0.3523035230352303,0.3983739837398374,0.24932249322493225
65,003,328,5,31,147,323,328,1.0,0.01524390243902439,0.9847560975609756,150,0.09451219512195122,0.4481707317073171,0.4573170731707317
66,003,2052,24,332,1239,2028,2052,1.0,0.011695906432748537,0.9883040935672515,481,0.1617933723196881,0.6038011695906432,0.23440545808966862
67,003,573,6,123,290,567,573,1.0,0.010471204188481676,0.9895287958115183,160,0.21465968586387435,0.506108202443281,0.2792321116928447
68,003,2856,30,722,1151,2826,2856,1.0,0.01050420168067227,0.9894957983193278,983,0.25280112044817926,0.40301120448179273,0.344187675070028
69,003,2997,17,871,1468,2980,2997,1.0,0.005672339005672339,0.9943276609943277,658,0.29062395729062396,0.48982315648982316,0.21955288621955288
70,003,2612,34,576,737,2578,2612,1.0,0.013016845329249618,0.9869831546707504,1299,0.22052067381316998,0.2821592649310873,0.49732006125574274
71,003,1574,14,372,524,1560,1574,1.0,0.008894536213468869,0.9911054637865311,678,0.2363405336721728,0.33290978398983484,0.4307496823379924
72,003,1546,8,327,412,1538,1546,1.0,0.00517464424320828,0.9948253557567918,807,0.2115135834411384,0.2664941785252264,0.5219922380336351
73,003,2437,19,624,849,2418,2437,1.0,0.007796471070988921,0.9922035289290111,964,0.2560525235945835,0.3483791546983997,0.39556832170701683
74,003,2371,8,685,1261,2363,2371,1.0,0.003374103753690426,0.9966258962463096,425,0.2889076339097427,0.5318431041754534,0.1792492619148039
75,003,2566,32,584,937,2534,2566,1.0,0.012470771628994544,0.9875292283710054,1045,0.22759158222915044,0.3651597817614965,0.40724863600935307
76,003,2560,35,517,758,2525,2560,1.0,0.013671875,0.986328125,1285,0.201953125,0.29609375,0.501953125
77,003,2300,24,442,1175,2276,2300,1.0,0.010434782608695653,0.9895652173913043,683,0.19217391304347825,0.5108695652173914,0.29695652173913045
78,003,1944,15,446,699,1929,1944,1.0,0.007716049382716049,0.9922839506172839,799,0.2294238683127572,0.3595679012345679,0.41100823045267487
79,003,1716,25,422,880,1691,1716,1.0,0.014568764568764568,0.9854312354312355,414,0.24592074592074592,0.5128205128205128,0.24125874125874125
80,003,1469,17,406,559,1452,1469,1.0,0.011572498298162015,0.988427501701838,504,0.2763784887678693,0.3805309734513274,0.3430905377808033
81,003,6716,80,849,964,6636,6716,1.0,0.011911852293031567,0.9880881477069684,4903,0.1264145324597975,0.14353782013103036,0.7300476474091722
82,003,2213,21,550,1125,2192,2213,1.0,0.009489380930863081,0.990510619069137,538,0.24853140533212834,0.508359692724808,0.24310890194306373
83,003,2771,17,731,1267,2754,2771,1.0,0.006134969325153374,0.9938650306748467,773,0.26380368098159507,0.4572356549981956,0.2789606640202093
84,003,2357,30,583,841,2327,2357,1.0,0.012728044123886296,0.9872719558761137,933,0.24734832414085703,0.35680950360627917,0.39584217225286383
85,003,2232,20,602,1330,2212,2232,1.0,0.008960573476702509,0.9910394265232975,300,0.26971326164874554,0.5958781362007168,0.13440860215053763
86,003,1791,22,346,994,1769,1791,1.0,0.012283640424343942,0.9877163595756561,451,0.19318816303740927,0.5549972082635399,0.2518146286990508
87,003,716,11,133,341,705,716,1.0,0.015363128491620111,0.9846368715083799,242,0.1857541899441341,0.4762569832402235,0.33798882681564246
88,003,2759,33,501,1360,2726,2759,1.0,0.011960855382384922,0.9880391446176151,898,0.18158753171438927,0.4929322218194998,0.3254802464661109
89,003,2191,52,285,804,2139,2191,1.0,0.023733455043359195,0.9762665449566408,1102,0.1300775901414879,0.36695572797809217,0.5029666818804199
90,003,1688,15,205,758,1673,1688,1.0,0.008886255924170616,0.9911137440758294,725,0.12144549763033176,0.4490521327014218,0.42950236966824645
91,003,1536,31,228,496,1505,1536,1.0,0.020182291666666668,0.9798177083333334,812,0.1484375,0.3229166666666667,0.5286458333333334
92,005,1880,159,1178,357,1721,1880,1.0,0.08457446808510638,0.9154255319148936,345,0.6265957446808511,0.1898936170212766,0.18351063829787234
93,005,1600,94,1060,202,1506,1600,1.0,0.05875,0.94125,338,0.6625,0.12625,0.21125
94,005,1249,51,798,125,1198,1249,1.0,0.04083266613290633,0.9591673338670936,326,0.6389111289031225,0.100080064051241,0.2610088070456365
95,005,1575,52,1149,347,1523,1575,1.0,0.03301587301587302,0.966984126984127,79,0.7295238095238096,0.22031746031746033,0.05015873015873016
96,005,2230,86,1342,623,2144,2230,1.0,0.03856502242152467,0.9614349775784753,265,0.6017937219730942,0.27937219730941704,0.11883408071748879
97,005,2427,86,1091,655,2341,2427,1.0,0.03543469303667079,0.9645653069633292,681,0.4495261639884631,0.2698805109188298,0.28059332509270707
98,005,2512,78,860,418,2434,2512,1.0,0.03105095541401274,0.9689490445859873,1234,0.34235668789808915,0.1664012738853503,0.4912420382165605
99,005,975,94,611,196,881,975,1.0,0.09641025641025641,0.9035897435897436,168,0.6266666666666667,0.20102564102564102,0.1723076923076923
100,005,4896,700,1193,405,4196,4896,1.0,0.14297385620915032,0.8570261437908496,3298,0.24366830065359477,0.08272058823529412,0.6736111111111112
101,005,2145,104,162,35,2041,2145,1.0,0.048484848484848485,0.9515151515151515,1948,0.07552447552447553,0.016317016317016316,0.9081585081585082
102,005,1761,423,595,240,1338,1761,1.0,0.2402044293015332,0.7597955706984668,926,0.3378762067007382,0.1362862010221465,0.5258375922771152
103,005,2243,189,872,174,2054,2243,1.0,0.08426214890771289,0.9157378510922871,1197,0.38876504681230495,0.07757467677218012,0.533660276415515
104,005,4193,142,248,63,4051,4193,1.0,0.033865967088003816,0.9661340329119962,3882,0.05914619604102075,0.015025041736227046,0.9258287622227522
105,005,3226,445,903,282,2781,3226,1.0,0.1379417234965902,0.8620582765034098,2041,0.27991320520768753,0.08741475511469311,0.6326720396776193
106,005,4530,930,1622,647,3600,4530,1.0,0.2052980132450331,0.7947019867549668,2261,0.35805739514348783,0.14282560706401767,0.49911699779249447
107,005,2064,173,1181,533,1891,2064,1.0,0.08381782945736434,0.9161821705426356,350,0.5721899224806202,0.25823643410852715,0.1695736434108527
108,005,989,112,382,216,877,989,1.0,0.11324570273003033,0.8867542972699697,391,0.3862487360970677,0.21840242669362994,0.3953488372093023
109,005,1069,148,382,279,921,1069,1.0,0.1384471468662301,0.8615528531337698,408,0.35734331150608045,0.2609915809167446,0.3816651075771749
110,005,2072,176,1000,612,1896,2072,1.0,0.08494208494208494,0.915057915057915,460,0.4826254826254826,0.2953667953667954,0.222007722007722
111,005,4047,161,427,118,3886,4047,1.0,0.03978255497899679,0.9602174450210033,3502,0.10551025450951322,0.02915740054361255,0.8653323449468743
112,005,2644,104,1303,699,2540,2644,1.0,0.039334341906202726,0.9606656580937972,642,0.49281391830559756,0.2643721633888048,0.2428139183055976
113,005,3645,311,1658,973,3334,3645,1.0,0.08532235939643347,0.9146776406035665,1014,0.45486968449931414,0.26694101508916324,0.2781893004115226
114,005,2629,465,994,455,2164,2629,1.0,0.17687333586915177,0.8231266641308482,1180,0.3780905287181438,0.17306960821605172,0.4488398630658045
115,005,3319,278,1502,1032,3041,3319,1.0,0.08376016872551974,0.9162398312744803,785,0.4525459475745707,0.3109370292256704,0.23651702319975895
116,005,2385,221,1119,645,2164,2385,1.0,0.09266247379454927,0.9073375262054507,621,0.4691823899371069,0.27044025157232704,0.26037735849056604
117,005,1732,404,549,411,1328,1732,1.0,0.23325635103926096,0.766743648960739,772,0.3169745958429561,0.23729792147806006,0.4457274826789838
118,005,837,42,282,338,795,837,1.0,0.05017921146953405,0.9498207885304659,217,0.33691756272401435,0.4038231780167264,0.25925925925925924
119,005,611,7,143,467,604,611,1.0016420361247949,0.011456628477905073,0.9885433715220949,1,0.23404255319148937,0.7643207855973814,0.0016366612111292963
120,005,1020,988,566,174,32,1020,1.0,0.9686274509803922,0.03137254901960784,280,0.5549019607843138,0.17058823529411765,0.27450980392156865
121,005,872,839,653,140,33,872,1.0,0.9621559633027523,0.03784403669724771,79,0.7488532110091743,0.16055045871559634,0.09059633027522936
122,005,408,393,319,88,15,408,1.1243093922651934,0.9632352941176471,0.03676470588235294,1,0.7818627450980392,0.21568627450980393,0.0024509803921568627
123,005,328,322,186,23,6,328,1.0,0.9817073170731707,0.018292682926829267,119,0.5670731707317073,0.0701219512195122,0.3628048780487805
124,005,2186,269,752,1019,1917,2186,1.0,0.12305580969807868,0.8769441903019213,415,0.34400731930466605,0.46614821591948763,0.1898444647758463
125,005,93,6,39,36,87,93,1.0,0.06451612903225806,0.9354838709677419,18,0.41935483870967744,0.3870967741935484,0.1935483870967742
126,005,2020,215,688,946,1805,2020,1.0,0.10643564356435643,0.8935643564356436,386,0.3405940594059406,0.46831683168316834,0.1910891089108911
127,005,162,4,40,111,158,162,1.0,0.024691358024691357,0.9753086419753086,11,0.24691358024691357,0.6851851851851852,0.06790123456790123
128,005,341,2,197,117,339,341,1.0,0.005865102639296188,0.9941348973607038,27,0.5777126099706745,0.34310850439882695,0.07917888563049853
129,005,717,2,363,307,715,717,1.0,0.002789400278940028,0.99721059972106,47,0.5062761506276151,0.4281729428172943,0.06555090655509066
130,005,1076,102,116,482,974,1076,1.0,0.09479553903345725,0.9052044609665427,478,0.10780669144981413,0.4479553903345725,0.44423791821561337
131,005,1570,294,495,149,1276,1570,1.0,0.18726114649681527,0.8127388535031848,926,0.31528662420382164,0.09490445859872612,0.5898089171974522
132,005,168,127,57,5,41,168,1.0,0.7559523809523809,0.24404761904761904,106,0.3392857142857143,0.02976190476190476,0.6309523809523809
133,005,654,636,307,154,18,654,1.0,0.9724770642201835,0.027522935779816515,193,0.4694189602446483,0.23547400611620795,0.29510703363914376
134,005,3295,150,1696,1063,3145,3295,1.0,0.04552352048558422,0.9544764795144158,536,0.5147192716236723,0.3226100151745068,0.16267071320182094
135,005,197,12,61,114,185,197,1.0,0.06091370558375635,0.9390862944162437,22,0.3096446700507614,0.5786802030456852,0.1116751269035533
136,005,53,6,4,12,47,53,1.0,0.11320754716981132,0.8867924528301887,37,0.07547169811320754,0.22641509433962265,0.6981132075471698
